      --------Part 1---------   --------Part 2---------
Day       Time    Rank  Score       Time    Rank  Score
 25   00:21:38    1628      0          -       -      -
 24   00:20:59    1149      0   00:45:19    1226      0
 23   00:43:28    1742      0   01:48:02    1260      0
 22   00:19:59    2610      0   01:04:19    1835      0
 21   00:50:09    2030      0   00:55:09    1727      0
 20   01:11:30    1697      0          -       -      -
 18   17:49:37   17455      0          -       -      -
 17       >24h   26382      0       >24h   25678      0
 16   00:11:37     596      0       >24h   28966      0
 15   00:32:05    3675      0   00:35:53    2392      0
 14       >24h   36644      0       >24h   32817      0
 13       >24h   43582      0       >24h   33987      0
 12       >24h   45243      0       >24h   41868      0
 11       >24h   46638      0       >24h   42891      0
 10       >24h   56373      0       >24h   45925      0
  9       >24h   59509      0       >24h   58130      0
  8       >24h   64266      0       >24h   59644      0
  7       >24h   64852      0       >24h   59074      0
  6       >24h   79549      0       >24h   77210      0
  5       >24h   83562      0       >24h   81836      0
  4       >24h   93438      0       >24h   83278      0
  3       >24h   99608      0       >24h   96536      0
  2       >24h  117528      0       >24h  114134      0
  1       >24h  144107      0       >24h  134718      0
